edge_id,source_vertex_id,target_vertex_id
0,0,1
1,0,2
2,0,5
3,1,4
4,1,10
5,2,3
6,2,15
7,3,4
8,3,43
9,4,51
10,5,6
11,5,7
12,6,9
13,6,11
14,7,8
15,7,16
16,8,9
17,8,20
18,9,35
19,10,11
20,10,14
21,11,12
22,12,13
23,12,36
24,13,14
25,13,48
26,14,52
27,15,16
28,15,19
29,16,17
30,17,18
31,17,21
32,18,19
33,18,30
34,19,44
35,20,21
36,20,24
37,21,23
38,22,23
39,22,24
40,22,25
41,23,31
42,24,37
43,25,26
44,25,27
45,26,28
46,26,32
47,27,29
48,27,38
49,28,29
50,28,40
51,29,49
52,30,31
53,30,34
54,31,32
55,32,33
56,33,34
57,33,41
58,34,45
59,35,36
60,35,37
61,36,39
62,37,38
63,38,39
64,39,50
65,40,41
66,40,42
67,40,49
68,41,42
69,42,46
70,42,53
71,43,44
72,43,47
73,44,45
74,45,46
75,46,47
76,47,53
77,48,49
78,48,50
79,48,52
80,49,50
81,51,52
82,51,53
83,52,53
