circuit_id,v0,v1,v2,v3
0,0,1,2,3
1,0,1,2,4
2,0,1,3,4
3,0,1,5,6
4,0,1,5,10
5,0,1,5,11
6,0,1,6,10
7,0,1,6,11
8,0,1,7,14
9,0,1,8,13
10,0,1,9,12
11,0,1,10,11
12,0,1,15,55
13,0,1,16,17
14,0,1,16,31
15,0,1,16,32
16,0,1,16,40
17,0,1,16,43
18,0,1,16,56
19,0,1,16,59
20,0,1,17,31
21,0,1,17,32
22,0,1,17,40
23,0,1,17,43
24,0,1,17,56
25,0,1,17,59
26,0,1,18,57
27,0,1,19,58
28,0,1,20,24
29,0,1,20,50
30,0,1,20,52
31,0,1,21,54
32,0,1,22,51
33,0,1,23,53
34,0,1,24,50
35,0,1,24,52
36,0,1,25,29
37,0,1,26,28
38,0,1,30,44
39,0,1,31,32
40,0,1,31,40
41,0,1,31,43
42,0,1,31,56
43,0,1,31,59
44,0,1,32,40
45,0,1,32,43
46,0,1,32,56
47,0,1,32,59
48,0,1,33,41
49,0,1,34,42
50,0,1,35,36
51,0,1,37,39
52,0,1,40,43
53,0,1,40,56
54,0,1,40,59
55,0,1,43,56
56,0,1,43,59
57,0,1,46,49
58,0,1,47,48
59,0,1,50,52
60,0,1,56,59
61,0,2,3,4
62,0,2,5,7
63,0,2,5,15
64,0,2,5,16
65,0,2,6,19
66,0,2,7,15
67,0,2,7,16
68,0,2,8,17
69,0,2,9,18
70,0,2,10,45
71,0,2,11,12
72,0,2,11,40
73,0,2,11,41
74,0,2,11,46
75,0,2,11,47
76,0,2,11,51
77,0,2,11,52
78,0,2,12,40
79,0,2,12,41
80,0,2,12,46
81,0,2,12,47
82,0,2,12,51
83,0,2,12,52
84,0,2,13,48
85,0,2,14,49
86,0,2,15,16
87,0,2,20,21
88,0,2,23,24
89,0,2,26,27
90,0,2,28,29
91,0,2,30,31
92,0,2,30,35
93,0,2,30,37
94,0,2,31,35
95,0,2,31,37
96,0,2,32,38
97,0,2,33,39
98,0,2,34,36
99,0,2,35,37
100,0,2,40,41
101,0,2,40,46
102,0,2,40,47
103,0,2,40,51
104,0,2,40,52
105,0,2,41,46
106,0,2,41,47
107,0,2,41,51
108,0,2,41,52
109,0,2,42,50
110,0,2,43,53
111,0,2,44,54
112,0,2,46,47
113,0,2,46,51
114,0,2,46,52
115,0,2,47,51
116,0,2,47,52
117,0,2,51,52
118,0,2,56,58
119,0,2,57,59
120,0,3,5,8
121,0,3,5,20
122,0,3,5,23
123,0,3,5,31
124,0,3,5,34
125,0,3,5,45
126,0,3,5,47
127,0,3,6,49
128,0,3,7,46
129,0,3,8,20
130,0,3,8,23
131,0,3,8,31
132,0,3,8,34
133,0,3,8,45
134,0,3,8,47
135,0,3,9,48
136,0,3,10,55
137,0,3,11,13
138,0,3,11,58
139,0,3,11,59
140,0,3,12,57
141,0,3,13,58
142,0,3,13,59
143,0,3,14,56
144,0,3,16,19
145,0,3,17,18
146,0,3,20,23
147,0,3,20,31
148,0,3,20,34
149,0,3,20,45
150,0,3,20,47
151,0,3,21,30
152,0,3,22,32
153,0,3,23,31
154,0,3,23,34
155,0,3,23,45
156,0,3,23,47
157,0,3,24,33
158,0,3,25,26
159,0,3,27,28
160,0,3,31,34
161,0,3,31,45
162,0,3,31,47
163,0,3,34,45
164,0,3,34,47
165,0,3,35,38
166,0,3,35,40
167,0,3,35,42
168,0,3,36,44
169,0,3,37,41
170,0,3,38,40
171,0,3,38,42
172,0,3,39,43
173,0,3,40,42
174,0,3,45,47
175,0,3,50,54
176,0,3,52,53
177,0,3,58,59
178,0,4,5,9
179,0,4,5,35
180,0,4,5,39
181,0,4,5,52
182,0,4,5,54
183,0,4,5,55
184,0,4,5,59
185,0,4,6,56
186,0,4,7,58
187,0,4,8,57
188,0,4,9,35
189,0,4,9,39
190,0,4,9,52
191,0,4,9,54
192,0,4,9,55
193,0,4,9,59
194,0,4,11,14
195,0,4,12,13
196,0,4,15,45
197,0,4,16,18
198,0,4,16,47
199,0,4,16,49
200,0,4,17,48
201,0,4,18,47
202,0,4,18,49
203,0,4,19,46
204,0,4,20,22
205,0,4,20,40
206,0,4,20,44
207,0,4,21,42
208,0,4,22,40
209,0,4,22,44
210,0,4,23,41
211,0,4,24,43
212,0,4,25,28
213,0,4,27,29
214,0,4,30,34
215,0,4,31,33
216,0,4,35,39
217,0,4,35,52
218,0,4,35,54
219,0,4,35,55
220,0,4,35,59
221,0,4,36,50
222,0,4,37,53
223,0,4,38,51
224,0,4,39,52
225,0,4,39,54
226,0,4,39,55
227,0,4,39,59
228,0,4,40,44
229,0,4,47,49
230,0,4,52,54
231,0,4,52,55
232,0,4,52,59
233,0,4,54,55
234,0,4,54,59
235,0,4,55,59
236,0,5,6,10
237,0,5,6,11
238,0,5,7,15
239,0,5,7,16
240,0,5,8,20
241,0,5,8,23
242,0,5,8,31
243,0,5,8,34
244,0,5,8,45
245,0,5,8,47
246,0,5,9,35
247,0,5,9,39
248,0,5,9,52
249,0,5,9,54
250,0,5,9,55
251,0,5,9,59
