signature_class_id,signature_flow_mass_x1e12,active_flow,active_atom_count,carrier_atom_mask,signature_flow_rank
0,5182662234,1,3,146,97
1,5182662233,1,3,146,98
2,5182662233,1,3,146,99
3,5182662233,1,3,146,100
4,5182662233,1,3,146,101
5,5182662233,1,3,146,102
6,5182662233,1,3,146,103
7,5182662233,1,3,146,104
8,5182662233,1,3,146,105
9,5182662233,1,3,146,106
10,5182662233,1,3,146,107
11,5182662233,1,3,146,108
12,5182662233,1,3,146,109
13,5182662233,1,3,146,110
14,5182662233,1,3,146,111
15,1121028888,1,1,2,212
16,1121028888,1,1,2,213
17,1121028888,1,1,2,214
18,1216867285,1,1,16,186
19,1216867285,1,1,16,187
20,1216867285,1,1,16,188
21,5182662233,1,3,146,112
22,5182662233,1,3,146,113
23,5182662233,1,3,146,114
24,5182662233,1,3,146,115
25,5182662233,1,3,146,116
26,5182662233,1,3,146,117
27,5182662233,1,3,146,118
28,2844766060,1,1,128,134
29,2844766060,1,1,128,135
30,2844766060,1,1,128,136
31,2844766060,1,1,128,137
32,2844766060,1,1,128,138
33,2844766060,1,1,128,139
34,2844766060,1,1,128,140
35,2844766060,1,1,128,141
36,2844766060,1,1,128,142
37,2844766060,1,1,128,143
38,2844766060,1,1,128,144
39,0,0,0,0,222
40,0,0,0,0,223
41,0,0,0,0,224
42,0,0,0,0,225
43,0,0,0,0,226
44,0,0,0,0,227
45,1121028888,1,1,2,215
46,1121028888,1,1,2,216
47,1121028888,1,1,2,217
48,7959993994,1,3,6146,8
49,7959993994,1,3,6146,9
50,7959993994,1,3,6146,10
51,7959993994,1,3,6146,11
52,7959993994,1,3,6146,12
53,7959993994,1,3,6146,13
54,7959993994,1,3,6146,14
55,7959993994,1,3,6146,15
56,7959993994,1,3,6146,16
57,7959993994,1,3,6146,17
58,6838965106,1,2,6144,59
59,6838965106,1,2,6144,60
60,6838965106,1,2,6144,61
61,1121028888,1,1,2,218
62,1121028888,1,1,2,219
63,1136831639,1,1,2048,200
64,1136831639,1,1,2048,201
65,1136831639,1,1,2048,202
66,1136831639,1,1,2048,203
67,1136831639,1,1,2048,204
68,5702133467,1,1,4096,83
69,5702133467,1,1,4096,84
70,5702133467,1,1,4096,85
71,5702133467,1,1,4096,86
72,1216867285,1,1,16,189
73,1216867285,1,1,16,190
74,1216867285,1,1,16,191
75,6838965106,1,2,6144,62
76,6838965106,1,2,6144,63
77,6838965106,1,2,6144,64
78,8055832391,1,3,6160,1
79,8055832391,1,3,6160,2
80,8055832391,1,3,6160,3
81,8055832391,1,3,6160,4
82,8055832391,1,3,6160,5
83,8055832391,1,3,6160,6
84,8055832391,1,3,6160,7
85,1216867285,1,1,16,192
86,1216867285,1,1,16,193
87,1216867285,1,1,16,194
88,1216867285,1,1,16,195
89,1136831639,1,1,2048,205
90,5702133467,1,1,4096,87
91,5702133467,1,1,4096,88
92,5702133467,1,1,4096,89
93,5182662233,1,3,146,119
94,5182662233,1,3,146,120
95,5182662233,1,3,146,121
96,5182662233,1,3,146,122
97,5182662233,1,3,146,123
98,5182662233,1,3,146,124
99,5182662233,1,3,146,125
100,1121028888,1,1,2,220
101,1121028888,1,1,2,221
102,1216867285,1,1,16,196
103,1216867285,1,1,16,197
104,1216867285,1,1,16,198
105,1216867285,1,1,16,199
106,6940911420,1,4,524434,39
107,6940911420,1,4,524434,40
108,6940911420,1,4,524434,41
109,6940911420,1,4,524434,42
110,6940911420,1,4,524434,43
111,6940911420,1,4,524434,44
112,6940911420,1,4,524434,45
113,6940911420,1,4,524434,46
114,6940911420,1,4,524434,47
115,6940911420,1,4,524434,48
116,6940911419,1,4,524434,49
117,6940911419,1,4,524434,50
118,6940911419,1,4,524434,51
119,6940911419,1,4,524434,52
120,6940911419,1,4,524434,53
121,6940911419,1,4,524434,54
122,6940911419,1,4,524434,55
123,6940911419,1,4,524434,56
124,6940911419,1,4,524434,57
125,6940911419,1,4,524434,58
126,4603015247,1,2,524416,126
127,4603015246,1,2,524416,127
128,4603015246,1,2,524416,128
129,4603015246,1,2,524416,129
130,1758249186,1,1,524288,156
131,1758249186,1,1,524288,157
132,1758249186,1,1,524288,158
133,1758249186,1,1,524288,159
134,2844766060,1,1,128,145
135,2844766060,1,1,128,146
136,2844766060,1,1,128,147
137,2844766060,1,1,128,148
138,2844766060,1,1,128,149
139,2844766060,1,1,128,150
140,2844766060,1,1,128,151
141,2844766060,1,1,128,152
142,2844766060,1,1,128,153
143,2844766060,1,1,128,154
144,2844766060,1,1,128,155
145,1136831639,1,1,2048,206
146,1136831639,1,1,2048,207
147,1136831639,1,1,2048,208
148,1136831639,1,1,2048,209
149,1136831639,1,1,2048,210
150,1136831639,1,1,2048,211
151,4603015246,1,2,524416,130
152,4603015245,1,2,524416,131
153,4603015245,1,2,524416,132
154,4603015245,1,2,524416,133
155,5739846884,1,3,526464,65
156,5739846884,1,3,526464,66
157,5739846884,1,3,526464,67
158,5739846884,1,3,526464,68
159,5739846884,1,3,526464,69
160,5739846884,1,3,526464,70
161,5739846884,1,3,526464,71
162,5739846884,1,3,526464,72
163,5739846884,1,3,526464,73
164,5739846884,1,3,526464,74
165,5739846884,1,3,526464,75
166,5739846884,1,3,526464,76
167,5739846883,1,3,526464,77
168,5739846883,1,3,526464,78
169,5739846883,1,3,526464,79
170,5739846883,1,3,526464,80
171,5739846883,1,3,526464,81
172,5739846883,1,3,526464,82
173,1758249186,1,1,524288,160
174,1758249186,1,1,524288,161
175,1758249186,1,1,524288,162
176,1758249186,1,1,524288,163
177,1758249186,1,1,524288,164
178,1758249186,1,1,524288,165
179,1758249186,1,1,524288,166
180,1758249186,1,1,524288,167
181,1758249186,1,1,524288,168
182,1758249186,1,1,524288,169
183,1758249186,1,1,524288,170
184,0,0,0,0,228
185,0,0,0,0,229
186,0,0,0,0,230
187,0,0,0,0,231
188,0,0,0,0,232
189,0,0,0,0,233
190,5702133467,1,1,4096,90
191,5702133467,1,1,4096,91
192,5702133467,1,1,4096,92
193,5702133467,1,1,4096,93
194,5702133467,1,1,4096,94
195,5702133467,1,1,4096,95
196,5702133466,1,1,4096,96
197,1758249186,1,1,524288,171
198,1758249186,1,1,524288,172
199,1758249186,1,1,524288,173
200,1758249186,1,1,524288,174
201,1758249186,1,1,524288,175
202,1758249186,1,1,524288,176
203,1758249186,1,1,524288,177
204,1758249186,1,1,524288,178
205,1758249186,1,1,524288,179
206,1758249186,1,1,524288,180
207,1758249186,1,1,524288,181
208,1758249186,1,1,524288,182
209,1758249186,1,1,524288,183
210,1758249186,1,1,524288,184
211,1758249186,1,1,524288,185
212,7460382652,1,2,528384,18
213,7460382652,1,2,528384,19
214,7460382652,1,2,528384,20
215,7460382652,1,2,528384,21
216,7460382652,1,2,528384,22
217,7460382652,1,2,528384,23
218,7460382652,1,2,528384,24
219,7460382652,1,2,528384,25
220,7460382652,1,2,528384,26
221,7460382652,1,2,528384,27
222,7460382652,1,2,528384,28
223,7460382652,1,2,528384,29
224,7460382652,1,2,528384,30
225,7460382652,1,2,528384,31
226,7460382652,1,2,528384,32
227,7460382652,1,2,528384,33
228,7460382652,1,2,528384,34
229,7460382652,1,2,528384,35
230,7460382652,1,2,528384,36
231,7460382652,1,2,528384,37
232,7460382652,1,2,528384,38
