branch_id,branch_code,target_word_id,word_length,symbol_0_id,symbol_1_id,symbol_2_id,symbol_3_id,symbol_4_id,symbol_5_id,symbol_6_id,symbol_7_id,symbol_8_id,symbol_9_id,target_last_symbol_rank,first_node44_consumed_symbol_count,strong_first_hit_flag,closed_path_count,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_signature_0_count,trace_signature_1_count,trace_signature_2_count,trace_signature_3_count,trace_signature_4_count,trace_signature_5_count,trace_signature_6_count,trace_signature_7_count,trace_signature_8_count,trace_signature_9_count,trace_signature_10_count,trace_signature_11_count,trace_edge_count,trace_detour_overhead,signature_valley_depth,metric_gromov_delta_twice,trace_signature_total_variation,trace_min_signature_after_node42,metric_diameter,metric_radius,shortcut_start_node_id,shortcut_end_node_id,shortcut_trace_segment_edge_count,shortcut_ambient_distance,shortcut_saved_edge_count,geodesic_skipped_node_count,geodesic_skipped_node_0_id,geodesic_skipped_node_1_id,geodesic_skipped_node_2_id,geodesic_skipped_node_3_id,geodesic_skipped_node_4_id,geodesic_skipped_node_5_id,geodesic_skipped_node_6_id,geodesic_skipped_node_7_id
0,0,0,8,2,1,4,0,2,0,4,5,-1,-1,7,8,1,4,10,48,42,27,28,9,13,2,13,19,44,-1,-1,132,183,146,169,131,165,117,165,173,185,-1,-1,9,7,66,2,299,117,5,3,42,44,8,1,7,7,27,28,9,13,2,13,19,-1
1,0,0,8,2,1,4,0,2,1,4,5,-1,-1,7,8,1,4,10,48,42,27,28,9,13,7,28,34,44,-1,-1,132,183,146,169,131,165,138,169,177,185,-1,-1,9,7,52,2,257,131,5,3,42,44,8,1,7,7,27,28,9,13,7,28,34,-1
2,0,0,9,2,1,4,0,5,2,0,4,5,-1,8,9,1,4,10,48,42,27,28,9,19,14,13,19,44,-1,-1,132,183,146,169,131,173,168,165,173,185,-1,-1,9,7,52,2,219,131,4,3,42,44,8,1,7,7,27,28,9,19,14,13,19,-1
3,0,0,9,2,1,4,0,5,2,1,4,5,-1,8,9,1,4,11,48,42,27,28,9,19,14,29,28,34,44,-1,132,183,146,169,131,173,168,169,169,177,185,-1,10,8,52,1,213,131,5,3,42,44,9,1,8,8,27,28,9,19,14,29,28,34
4,0,0,9,2,1,4,5,0,2,0,4,5,-1,8,9,1,2,11,48,42,27,28,34,19,14,2,13,19,44,-1,132,183,146,169,177,173,168,117,165,173,185,-1,10,8,66,2,247,117,5,3,42,44,9,1,8,8,27,28,34,19,14,2,13,19
5,0,0,9,2,1,4,5,0,2,1,4,5,-1,8,9,1,2,11,48,42,27,28,34,19,14,7,28,34,44,-1,132,183,146,169,177,173,168,138,169,177,185,-1,10,8,45,2,205,138,5,3,42,44,9,1,8,8,27,28,34,19,14,7,28,34
6,0,0,9,2,1,4,5,1,2,0,4,5,-1,8,9,1,2,10,48,42,27,28,34,29,7,13,19,44,-1,-1,132,183,146,169,177,169,138,165,173,185,-1,-1,9,7,45,3,205,138,5,4,42,44,8,1,7,7,27,28,34,29,7,13,19,-1
7,0,0,9,2,1,4,5,1,2,1,4,5,-1,8,9,1,2,10,48,42,27,28,34,29,22,28,34,44,-1,-1,132,183,146,169,177,169,118,169,177,185,-1,-1,9,7,65,2,245,118,4,3,42,44,8,1,7,7,27,28,34,29,22,28,34,-1
8,0,0,9,2,1,4,5,5,2,0,4,5,-1,8,9,1,12,11,48,42,27,28,34,54,45,14,13,19,44,-1,132,183,146,169,177,134,148,168,165,173,185,-1,10,8,49,4,219,134,6,5,42,44,9,1,8,8,27,28,34,54,45,14,13,19
9,0,0,9,2,1,4,5,5,2,1,4,5,-1,8,9,1,12,11,48,42,27,28,34,54,45,29,28,34,44,-1,132,183,146,169,177,134,148,169,169,177,185,-1,10,8,49,2,213,134,5,3,42,44,9,1,8,8,27,28,34,54,45,29,28,34
10,1,0,9,2,1,3,4,0,2,0,4,5,-1,8,9,1,4,10,48,42,27,31,16,13,2,13,19,44,-1,-1,132,183,146,151,147,165,117,165,173,185,-1,-1,9,7,66,2,231,117,5,3,42,44,8,1,7,7,27,31,16,13,2,13,19,-1
11,1,0,9,2,1,3,4,0,2,1,4,5,-1,8,9,1,4,10,48,42,27,31,16,13,7,28,34,44,-1,-1,132,183,146,151,147,165,138,169,177,185,-1,-1,9,7,45,3,189,138,5,4,42,44,8,1,7,7,27,31,16,13,7,28,34,-1
12,1,0,10,2,1,3,4,0,5,2,0,4,5,9,10,1,4,10,48,42,27,31,16,19,14,13,19,44,-1,-1,132,183,146,151,147,173,168,165,173,185,-1,-1,9,7,37,2,151,146,4,3,42,44,8,1,7,7,27,31,16,19,14,13,19,-1
13,1,0,10,2,1,3,4,0,5,2,1,4,5,9,10,1,4,11,48,42,27,31,16,19,14,29,28,34,44,-1,132,183,146,151,147,173,168,169,169,177,185,-1,10,8,37,4,145,146,6,5,42,44,9,1,8,8,27,31,16,19,14,29,28,34
14,1,0,9,2,1,3,4,1,2,0,4,5,-1,8,9,1,8,9,48,42,27,31,28,7,13,19,44,-1,-1,-1,132,183,146,151,169,138,165,173,185,-1,-1,-1,8,6,45,4,189,138,5,4,42,44,7,1,6,6,27,31,28,7,13,19,-1,-1
15,1,0,9,2,1,3,4,1,2,1,4,5,-1,8,9,1,8,9,48,42,27,31,28,22,28,34,44,-1,-1,-1,132,183,146,151,169,118,169,177,185,-1,-1,-1,8,6,65,2,229,118,5,3,42,44,7,1,6,6,27,31,28,22,28,34,-1,-1
16,1,0,10,2,1,3,4,1,5,2,0,4,5,9,10,1,8,10,48,42,27,31,34,29,14,13,19,44,-1,-1,132,183,146,151,177,169,168,165,173,185,-1,-1,9,7,37,3,151,146,5,4,42,44,8,1,7,7,27,31,34,29,14,13,19,-1
17,1,0,10,2,1,3,4,1,5,2,1,4,5,9,10,1,8,9,48,42,27,31,34,29,28,34,44,-1,-1,-1,132,183,146,151,177,169,169,177,185,-1,-1,-1,8,6,37,1,143,146,4,2,42,44,7,1,6,6,27,31,34,29,28,34,-1,-1
18,1,0,10,2,1,3,4,5,0,2,0,4,5,9,10,1,4,11,48,42,27,31,50,19,14,2,13,19,44,-1,132,183,146,151,146,173,168,117,165,173,185,-1,10,8,66,2,249,117,5,3,42,44,9,1,8,8,27,31,50,19,14,2,13,19
19,1,0,10,2,1,3,4,5,0,2,1,4,5,9,10,1,4,11,48,42,27,31,50,19,14,7,28,34,44,-1,132,183,146,151,146,173,168,138,169,177,185,-1,10,8,45,4,207,138,6,5,42,44,9,1,8,8,27,31,50,19,14,7,28,34
