relation_id,visible_index,transition_id,direct_stress_edge_id,reverse_stress_edge_id,direct_stress_flag,reverse_stress_flag,undirected_stress_flag,stress_incidence_flag
0,0,65,-1,-1,0,0,0,0
1,1,43,-1,29,0,1,1,1
2,1,37,-1,29,0,1,1,1
3,1,63,-1,29,0,1,1,1
4,2,65,-1,-1,0,0,0,0
5,3,35,-1,-1,0,0,0,0
6,3,37,-1,-1,0,0,0,0
7,3,40,-1,-1,0,0,0,0
8,3,63,-1,-1,0,0,0,0
9,4,12,-1,-1,0,0,0,0
10,5,5,-1,-1,0,0,0,0
11,5,13,-1,-1,0,0,0,0
12,5,39,-1,-1,0,0,0,0
13,5,26,-1,-1,0,0,0,0
14,6,49,66,81,1,1,1,1
15,7,10,-1,-1,0,0,0,0
16,7,15,-1,-1,0,0,0,0
17,7,24,-1,-1,0,0,0,0
18,7,39,-1,-1,0,0,0,0
19,7,17,-1,-1,0,0,0,0
20,7,42,-1,-1,0,0,0,0
21,8,49,-1,-1,0,0,0,0
22,9,16,-1,-1,0,0,0,0
23,9,16,-1,-1,0,0,0,0
24,9,53,-1,-1,0,0,0,0
25,9,17,-1,-1,0,0,0,0
26,9,42,-1,-1,0,0,0,0
27,10,19,-1,-1,0,0,0,0
28,10,49,-1,-1,0,0,0,0
29,11,4,-1,72,0,1,1,1
30,11,44,-1,72,0,1,1,1
31,11,40,-1,72,0,1,1,1
32,12,13,-1,44,0,1,1,1
33,13,0,-1,-1,0,0,0,0
34,13,3,-1,-1,0,0,0,0
35,13,38,-1,-1,0,0,0,0
36,13,40,-1,-1,0,0,0,0
37,13,26,-1,-1,0,0,0,0
38,14,21,-1,-1,0,0,0,0
39,14,13,-1,-1,0,0,0,0
40,15,21,-1,-1,0,0,0,0
41,15,13,-1,-1,0,0,0,0
42,15,39,-1,-1,0,0,0,0
43,15,38,-1,-1,0,0,0,0
44,15,50,-1,-1,0,0,0,0
45,16,9,31,16,1,1,1,1
46,17,39,-1,-1,0,0,0,0
47,17,17,-1,-1,0,0,0,0
48,17,42,-1,-1,0,0,0,0
49,18,1,-1,-1,0,0,0,0
50,18,1,-1,-1,0,0,0,0
51,18,2,-1,-1,0,0,0,0
52,18,7,-1,-1,0,0,0,0
53,19,16,64,-1,1,0,1,1
54,19,16,64,-1,1,0,1,1
55,19,44,64,-1,1,0,1,1
56,19,53,64,-1,1,0,1,1
57,19,17,64,-1,1,0,1,1
58,19,42,64,-1,1,0,1,1
