signature_vertex_id,signature_class_id,nodal_sign,stationary_mass_x1e12,second_eigenfunction_x1e12,carrier_mask_class_id,carrier_atom_mask,axis_coordinate_x1e12,signed_residual_coordinate_x1e12,low_axis_margin_x1e12,residual_gate_margin_x1e12,high_axis_margin_x1e12,elbow_region_code,elbow_prediction,elbow_matches_nodal,chart_order_rank
0,0,1,6326680093,1076857070827,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,37
1,1,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,38
2,2,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,39
3,3,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,40
4,4,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,41
5,5,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,42
6,6,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,43
7,7,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,44
8,8,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,45
9,9,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,46
10,10,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,47
11,11,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,48
12,12,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,49
13,13,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,50
14,14,1,6326680092,1076857070829,3,146,149914376927,-137725127333,201458160606,12203557224,-28710821516,1,1,1,51
15,15,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,15
16,16,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,16
17,17,1,425340020,875968500980,0,2,201679395919,-352612226540,253223179598,-202683541983,23054197476,2,1,1,17
18,18,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,1
19,19,1,440398702,1062963295150,1,16,256776285220,-285182652046,308320068899,-135253967489,78151086777,2,1,1,2
